Speaker,Filename,id,trial_number,tune,seg_Start,seg_End,Label,t,t_ms,f0,F0_semitones,H1H2c,CPP,H1A3c
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,4,0.47,122.956,-0.02089838772323913,3.362,15.52,-18.104
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,5,0.48,122.402,-0.0990784587294458,6.429,17.711,5.31
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,6,0.49,121.764,-0.1895521395112636,9.899,9.816,5.07
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,7,0.5,120.355,-0.39105109764835855,9.62,13.217,16.549
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,8,0.51,118.319,-0.6864228621440551,8.548,16.659,7.323
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,9,0.52,116.896,-0.8958972670632139,8.604,13.183,9.923
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,10,0.53,116.118,-1.0115044919739442,9.853,8.79,10.636
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,11,0.54,115.261,-1.1397507342675073,7.971,12.218,17.321
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,12,0.55,112.628,-1.5398176178174912,4.876,17.551,12.983
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,13,0.56,111.407,-1.728525427163906,3.158,21.394,18.229
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,14,0.57,109.843,-1.9732888309394228,2.395,20.314,14.232
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,15,0.58,107.833,-2.293019012024561,-1.814,19.702,6.297
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,16,0.59,106.782,-2.462582325965659,-8.034,19.311,-3.551
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,17,0.6,106.969,-2.432290926181006,-5.999,8.523,3.367
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,18,0.61,106.59,-2.493738900130544,0.079,13.102,9.063
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,19,0.62,105.645,-2.6479101714331534,3.155,15.351,8.026
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,20,0.63,104.419,-2.849993064632493,3.545,9.823,7.808
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,21,0.64,103.458,-3.010061544869341,3.399,13.168,8.235
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,22,0.65,102.554,-3.1619988713924965,1.614,12.138,8.618
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,23,0.66,101.077,-3.4131470299953772,0.525,13.713,7.203
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,24,0.67,99.713,-3.648361888097608,1.05,12.878,7.848
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,25,0.68,99.689,-3.652529310428199,1.98,9.734,11.497
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,26,0.69,100.174,-3.5685067387719727,3.644,15.823,8.999
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,1,0.7,100.333,-3.5410497151767455,4.33,9.696,9.353
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,2,0.71,100.625,-3.490738635438637,5.861,12.68,9.07
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,3,0.72,100.103,-3.5807815004903,5.913,12.192,8.955
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,4,0.73,99.041,-3.7654305975710822,9.56,12.701,8.503
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,5,0.74,114.655,-1.2310127832965785,16.877,14.392,29.455
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,6,0.75,107.52,-2.343343515413963,11.2,9.843,28.436
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,7,0.76,105.475,-2.675790983478525,17.309,10.888,32.135
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,8,0.77,105.999,-2.589996181441293,16.606,12.261,40.073
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,9,0.78,106.625,-2.4880551356429064,14.921,12.123,37.686
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,10,0.79,110.202,-1.916799151550979,10.547,10.506,30.116
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,11,0.8,111.708,-1.6818139317550558,7.411,14.241,29.41
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,12,0.81,108.934,-2.117152290664418,4.772,11.629,9.296
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,13,0.82,106.463,-2.514378529731935,2.888,9.576,-4.915
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,14,0.83,104.887,-2.772573508078898,-0.773,19.752,-7.609
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,15,0.84,103.549,-2.994840580494873,-2.86,17.343,-6.352
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,16,0.85,103.348,-3.028478395768881,-1.45,17.72,-7.188
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,17,0.86,104.914,-2.7681175407972485,3.455,19.156,-2.118
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,18,0.87,108.794,-2.1394161060921735,7.115,20.418,-1.305
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,19,0.88,109.124,-2.0869828355133655,5.019,21.031,1.83
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,20,0.89,109.522,-2.0239556671628662,4.053,22.1,4.864
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,21,0.9,109.87,-1.9690338874849995,3.42,21.115,3.875
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,22,0.91,109.703,-1.9953682857891404,2.147,20.494,7.887
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,23,0.92,110.079,-1.936132803583243,0.27,21.373,3.247
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,24,0.93,111.228,-1.7563639037337966,-0.135,21.388,5.277
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,25,0.94,113.273,-1.440955815869327,1.097,19.899,8.335
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,26,0.95,116.087,-1.0161269812261051,2.97,19.693,11.275
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,27,0.96,119.07,-0.5768844161072174,5.799,18.754,13.421
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,28,0.97,121.969,-0.16042985703432833,10.12,12.787,16.666
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,29,0.98,126.625,0.4881431941512687,11.76,15.796,15.99
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,30,0.99,134.122,1.483946784793335,11.196,17.876,14.53
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,31,1,138.655,2.0593916691909593,5.028,12.936,10.182
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,32,1.01,145.704,2.917881775455492,-0.316,12.854,6.44
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,33,1.02,147.506,3.1306796360047255,5.71,13.924,10.491
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,34,1.03,149.473,3.360014853108739,7.617,16.462,9.1
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,35,1.04,152.57,3.715051702771713,4.864,20.498,8.208
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,36,1.05,155.392,4.03234274766075,4.107,13.383,11.137
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,37,1.06,152.498,3.706879829363345,4.052,18.207,4.129
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,38,1.07,150.359,3.4623306721052107,2.225,18.294,4.37
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,39,1.08,149.18,3.326045548322237,0.639,22.67,1.816
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,40,1.09,147.708,3.154371556610735,0.627,20.422,-0.237
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,41,1.1,145.274,2.866714251931378,0.591,19.345,-0.394
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,42,1.11,142.396,2.5202994129566503,3.916,8.043,4.956
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,43,1.12,140.178,2.248515315100562,2.308,12.227,3.343
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,44,1.13,138.094,1.9892036192370992,2.373,17.169,8.037
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,45,1.14,134.722,1.5612214983106183,4.287,16.302,8.982
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,46,1.15,130.838,1.0547753044530117,6.023,11.832,12.866
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,47,1.16,127.923,0.6647040999816352,7.992,12.27,15.665
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,48,1.17,123.677,0.08032272260672638,9.432,10.378,9.023
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,49,1.18,119.174,-0.5617697981072335,12.058,12.181,8.699
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,50,1.19,117.981,-0.7359495238167191,9.29,17.005,6.893
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,51,1.2,116.002,-1.0288078838755237,8.367,17.559,8.366
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,52,1.21,113.732,-1.3709452424055104,6.843,20.824,7.076
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,53,1.22,111.207,-1.7596328061222175,7.68,21.008,1.754
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,54,1.23,109.589,-2.0133680942064514,6.347,19.428,10.921
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,55,1.24,108.503,-2.185784846520692,3.41,17.729,10.29
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,56,1.25,106.794,-2.460636900579785,-0.985,10.593,4.855
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,57,1.26,104.695,-2.804293506018567,-6.843,10.329,1.4
demoSpeaker,102_35_rfr,102,35,rfr,1.26,1.48,made,1,1.27,102.98,-3.0902339311896,-0.289,12.149,11.269
demoSpeaker,102_35_rfr,102,35,rfr,1.26,1.48,made,2,1.28,101.993,-3.256962350372885,1.751,10.511,11.078
demoSpeaker,102_35_rfr,102,35,rfr,1.26,1.48,made,3,1.29,101.991,-3.2573018346557943,2.473,10.708,12.057
demoSpeaker,102_35_rfr,102,35,rfr,1.26,1.48,made,4,1.3,100.745,-3.4701051636722617,0.476,16.356,10.74
demoSpeaker,102_35_rfr,102,35,rfr,1.26,1.48,made,5,1.31,99.37,-3.7080167924727623,-2.76,9.669,4.732
